experiment_id,start_time,end_time,sleepstage,signal_type,batch_size,epochs_per_individual,population_size,generations,offspring_variation,crossover_prob,mutation_prob,tournament_size,min_kernel_size,max_kernel_size,data_points_per_individual,best,second_best,third_best,TournamentOfChampions_on,TournamentOfChampions_generations_between,TournamentOfChampions_tournament_size,TournamentOfChampions_training_epochs,TournamentOfChampions_batch_size,dataset_name,max_time_spent_training,fitness_function
0,2025-06-18 21:18:23.533607,2025-06-18 22:52:51.085925,wake,EEG_Fpz-Cz,32,4,20,15,3,0.7,0.2,3,1,1500,3000,"1. Left=[75, 8, 8], Right=[627, 8, 8], Fitness=0.9757","2. Left=[75, 8, 8], Right=[906, 8, 8], Fitness=0.9549","3. Left=[75, 8, 8], Right=[1299, 8, 8], Fitness=0.9543",True,5,0.3,4,32,sleepEDFX,3,F1
1,2025-06-18 23:35:27.391779,2025-06-19 01:09:19.968619,wake,EEG_Pz-Oz,32,4,20,15,3,0.7,0.2,3,1,1500,3000,"1. Left=[1093, 8, 8], Right=[64, 8, 8], Fitness=0.9766","2. Left=[153, 8, 8], Right=[579, 8, 8], Fitness=0.9544","3. Left=[1263, 8, 8], Right=[613, 8, 8], Fitness=0.9544",True,5,0.3,4,32,sleepEDFX,3,F1
2,2025-06-19 12:20:23.772863,2025-06-19 13:32:53.979490,wake,EOG_horizontal,32,4,20,15,3,0.7,0.2,3,1,1500,3000,"1. Left=[30, 8, 8], Right=[239, 8, 8], Fitness=0.9726","2. Left=[53, 8, 8], Right=[523, 8, 8], Fitness=0.9714","3. Left=[31, 8, 8], Right=[1101, 8, 8], Fitness=0.9564",True,5,0.2,4,128,sleepEDFX,3,F1
3,2025-06-19 21:35:18.416906,2025-06-19 22:46:31.476626,wake,EMG_submental,32,4,20,15,5,0.7,0.2,3,1,15,1000,"1. Left=[6, 8, 8], Right=[1, 8, 8], Fitness=0.9229","2. Left=[10, 8, 8], Right=[1, 8, 8], Fitness=0.9160","3. Left=[7, 8, 8], Right=[6, 8, 8], Fitness=0.9159",True,5,0.2,4,128,sleepEDFX,3,F1
4,2025-06-19 23:08:24.962875,2025-06-20 02:12:33.602091,light-sleep,EEG_Fpz-Cz,32,4,20,15,5,0.7,0.2,3,1,1500,3000,"1. Left=[58, 8, 8], Right=[196, 8, 8], Fitness=0.8232","2. Left=[53, 8, 8], Right=[10, 8, 8], Fitness=0.7984","3. Left=[54, 8, 8], Right=[466, 8, 8], Fitness=0.7169",True,5,0.2,4,128,sleepEDFX,3,F1
5,2025-06-20 23:15:34.570725,2025-06-21 03:39:49.967901,wake,EEG_Fpz-Cz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[27, 8, 8], Right=[326, 8, 8], Fitness=0.9852","2. Left=[24, 8, 8], Right=[1005, 8, 8], Fitness=0.9829","3. Left=[25, 8, 8], Right=[257, 8, 8], Fitness=0.9529",True,10,0.2,4,128,sleepEDFX,3,F1
6,2025-06-21 12:55:09.269809,2025-06-21 17:29:31.431048,light-sleep,EEG_Fpz-Cz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[47, 8, 8], Right=[275, 8, 8], Fitness=0.8105","2. Left=[41, 8, 8], Right=[963, 8, 8], Fitness=0.8035","3. Left=[487, 8, 8], Right=[251, 8, 8], Fitness=0.8028",True,10,0.2,4,128,sleepEDFX,3,F1
7,2025-06-21 17:33:01.782342,2025-06-21 21:50:56.037560,light-sleep,EEG_Pz-Oz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[65, 8, 8], Right=[1034, 8, 8], Fitness=0.8037","2. Left=[20, 8, 8], Right=[1274, 8, 8], Fitness=0.7895","3. Left=[145, 8, 8], Right=[569, 8, 8], Fitness=0.7873",True,10,0.2,4,128,sleepEDFX,3,F1
8,2025-06-21 21:53:41.931263,2025-06-22 02:09:57.146261,light-sleep,EOG_horizontal,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[1029, 8, 8], Right=[707, 8, 8], Fitness=0.7644","2. Left=[1400, 8, 8], Right=[707, 8, 8], Fitness=0.7512","3. Left=[1113, 8, 8], Right=[707, 8, 8], Fitness=0.7498",True,10,0.2,4,128,sleepEDFX,3,F1
9,2025-06-22 02:09:58.042042,2025-06-22 04:25:47.292696,light-sleep,EMG_submental,32,3,20,40,5,0.7,0.2,3,1,15,2000,"1. Left=[1, 8, 8], Right=[5, 8, 8], Fitness=0.5908","2. Left=[2, 8, 8], Right=[9, 8, 8], Fitness=0.5697","3. Left=[1, 8, 8], Right=[7, 8, 8], Fitness=0.5612",True,10,0.2,4,128,sleepEDFX,3,F1
10,2025-06-22 04:28:31.831912,2025-06-22 08:44:58.756080,deep-sleep,EEG_Fpz-Cz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[16, 8, 8], Right=[539, 8, 8], Fitness=0.7642","2. Left=[87, 8, 8], Right=[953, 8, 8], Fitness=0.7500","3. Left=[84, 8, 8], Right=[878, 8, 8], Fitness=0.7247",True,10,0.2,4,128,sleepEDFX,3,F1
11,2025-06-22 08:47:49.981416,2025-06-22 13:00:17.386525,deep-sleep,EEG_Pz-Oz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[155, 8, 8], Right=[98, 8, 8], Fitness=0.6678","2. Left=[19, 8, 8], Right=[1466, 8, 8], Fitness=0.6620","3. Left=[117, 8, 8], Right=[124, 8, 8], Fitness=0.6464",True,10,0.2,4,128,sleepEDFX,3,F1
12,2025-06-22 13:02:33.718104,2025-06-22 17:21:38.909633,deep-sleep,EOG_horizontal,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[950, 8, 8], Right=[1034, 8, 8], Fitness=0.7238","2. Left=[1290, 8, 8], Right=[1466, 8, 8], Fitness=0.6641","3. Left=[954, 8, 8], Right=[1466, 8, 8], Fitness=0.6531",True,10,0.2,4,128,sleepEDFX,3,F1
13,2025-06-22 17:21:39.760983,2025-06-22 19:34:32.240889,deep-sleep,EMG_submental,32,3,20,40,5,0.7,0.2,3,1,15,2000,"1. Left=[9, 8, 8], Right=[12, 8, 8], Fitness=0.3148","2. Left=[2, 8, 8], Right=[11, 8, 8], Fitness=0.3030","3. Left=[1, 8, 8], Right=[1, 8, 8], Fitness=0.3000",True,10,0.2,4,128,sleepEDFX,3,F1
14,2025-06-22 19:36:59.228979,2025-06-23 00:23:52.780205,REM,EEG_Fpz-Cz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[720, 8, 8], Right=[774, 8, 8], Fitness=0.6103","2. Left=[892, 8, 8], Right=[824, 8, 8], Fitness=0.5606","3. Left=[221, 8, 8], Right=[1448, 8, 8], Fitness=0.5286",True,10,0.2,4,128,sleepEDFX,3,F1
15,2025-06-23 00:26:21.996489,2025-06-23 04:48:07.838636,REM,EEG_Pz-Oz,32,3,20,40,5,0.7,0.2,3,1,1500,2000,"1. Left=[855, 8, 8], Right=[978, 8, 8], Fitness=0.5343","2. Left=[712, 8, 8], Right=[508, 8, 8], Fitness=0.5156","3. Left=[1438, 8, 8], Right=[463, 8, 8], Fitness=0.3088",True,10,0.2,4,128,sleepEDFX,3,F1
