experiment_id,generation,number_of_trained_individuals,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,loss_mean,loss_std,loss_median,loss_min,loss_max
0,0,3,0.63,0.17,0.53,0.49,0.88,0.63,0.17,0.53,0.49,0.88
0,1,1,0.63,0.17,0.53,0.49,0.88,0.63,0.17,0.53,0.49,0.88
1,0,3,0.99,0.01,1.0,0.98,1.0,0.99,0.01,1.0,0.98,1.0
1,1,1,0.99,0.01,1.0,0.98,1.0,0.99,0.01,1.0,0.98,1.0
2,0,3,0.52,0.02,0.52,0.49,0.53,0.52,0.02,0.52,0.49,0.53
2,1,1,0.52,0.02,0.52,0.49,0.53,0.52,0.02,0.52,0.49,0.53
3,0,3,0.46,0.02,0.47,0.43,0.47,0.46,0.02,0.47,0.43,0.47
3,1,1,0.46,0.02,0.47,0.43,0.47,0.46,0.02,0.47,0.43,0.47
4,0,3,0.75,0.01,0.75,0.73,0.76,0.75,0.01,0.75,0.73,0.76
4,1,1,0.73,0.02,0.73,0.7,0.76,0.73,0.02,0.73,0.7,0.76
5,0,3,0.45,0.0,0.45,0.45,0.46,0.45,0.0,0.45,0.45,0.46
5,1,1,0.46,0.01,0.47,0.45,0.47,0.46,0.01,0.47,0.45,0.47
6,0,3,1.18,0.02,1.2,1.16,1.2,1.18,0.02,1.2,1.16,1.2
6,1,1,1.18,0.03,1.2,1.14,1.2,1.18,0.03,1.2,1.14,1.2
7,0,3,0.6,0.02,0.58,0.58,0.62,0.6,0.02,0.58,0.58,0.62
7,1,1,0.58,0.01,0.58,0.56,0.58,0.58,0.01,0.58,0.56,0.58
8,0,3,0.48,0.02,0.49,0.45,0.5,0.48,0.02,0.49,0.45,0.5
8,1,1,0.48,0.02,0.49,0.45,0.5,0.48,0.02,0.49,0.45,0.5
9,0,3,0.88,0.03,0.9,0.84,0.91,0.88,0.03,0.9,0.84,0.91
9,1,1,0.89,0.04,0.92,0.84,0.92,0.89,0.04,0.92,0.84,0.92
10,0,3,0.65,0.02,0.65,0.63,0.67,0.65,0.02,0.65,0.63,0.67
10,1,1,0.62,0.01,0.63,0.61,0.63,0.62,0.01,0.63,0.61,0.63
11,0,3,1.21,0.08,1.18,1.14,1.32,1.21,0.08,1.18,1.14,1.32
11,1,1,1.27,0.09,1.33,1.14,1.33,1.27,0.09,1.33,1.14,1.33
12,0,3,0.58,0.01,0.58,0.57,0.59,0.58,0.01,0.58,0.57,0.59
12,1,1,0.59,0.01,0.6,0.57,0.6,0.59,0.01,0.6,0.57,0.6
13,0,3,0.64,0.01,0.63,0.63,0.65,0.64,0.01,0.63,0.63,0.65
13,1,1,0.62,0.05,0.65,0.55,0.65,0.62,0.05,0.65,0.55,0.65
