experiment_id,generation,individual_id,model_performance
0,0,0,"{'epoch': 0, 'train_loss': 0.88, 'test_loss': 0.96, 'precision': 0.39, 'recall': 0.78, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[1, 12]], 'best_f1': 0.52, 'best_auc': 0.81, 'time': 2.46}"
0,0,1,"{'epoch': 0, 'train_loss': 0.53, 'test_loss': 1.21, 'precision': 0.91, 'recall': 0.56, 'accuracy': 0.89, 'learning_rate': 0.0, 'branches': [[14, 1, 2], [5, 8], [14, 10, 1]], 'best_f1': 0.69, 'best_auc': 0.94, 'time': 1.72}"
0,0,2,"{'epoch': 0, 'train_loss': 0.49, 'test_loss': 0.6, 'precision': 0.73, 'recall': 0.83, 'accuracy': 0.9, 'learning_rate': 0.0, 'branches': [[10, 5], [8, 10, 6]], 'best_f1': 0.78, 'best_auc': 0.94, 'time': 1.12}"
0,1,0,"{'epoch': 0, 'train_loss': 0.49, 'test_loss': 0.57, 'precision': 0.87, 'recall': 0.77, 'accuracy': 0.92, 'learning_rate': 0.0, 'branches': [[14, 1, 2], [5, 8], [14, 10, 1]], 'best_f1': 0.82, 'best_auc': 0.97, 'time': 1.67}"
0,1,0,"{'epoch': 0, 'train_loss': 0.88, 'test_loss': 0.96, 'precision': 0.39, 'recall': 0.78, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[1, 12]], 'best_f1': 0.52, 'best_auc': 0.81, 'time': 2.46}"
0,1,1,"{'epoch': 0, 'train_loss': 0.53, 'test_loss': 1.21, 'precision': 0.91, 'recall': 0.56, 'accuracy': 0.89, 'learning_rate': 0.0, 'branches': [[14, 1, 2], [5, 8], [14, 10, 1]], 'best_f1': 0.69, 'best_auc': 0.94, 'time': 1.72}"
1,0,1,"{'epoch': 0, 'train_loss': 0.98, 'test_loss': 1.11, 'precision': 0.12, 'recall': 0.96, 'accuracy': 0.51, 'learning_rate': 0.0, 'branches': [[10, 8, 12]], 'best_f1': 0.21, 'best_auc': 0.8, 'time': 1.3}"
1,0,2,"{'epoch': 0, 'train_loss': 1.0, 'test_loss': 1.23, 'precision': 0.11, 'recall': 0.89, 'accuracy': 0.42, 'learning_rate': 0.0, 'branches': [[5, 11, 2], [3, 1, 1, 15], [14, 8]], 'best_f1': 0.2, 'best_auc': 0.77, 'time': 1.66}"
1,0,3,"{'epoch': 0, 'train_loss': 1.0, 'test_loss': 0.98, 'precision': 0.13, 'recall': 0.84, 'accuracy': 0.62, 'learning_rate': 0.0, 'branches': [[8, 9], [2, 1], [2, 6, 5]], 'best_f1': 0.22, 'best_auc': 0.82, 'time': 1.34}"
1,1,1,"{'epoch': 0, 'train_loss': 0.98, 'test_loss': 1.11, 'precision': 0.12, 'recall': 0.96, 'accuracy': 0.51, 'learning_rate': 0.0, 'branches': [[10, 8, 12]], 'best_f1': 0.21, 'best_auc': 0.8, 'time': 1.3}"
