experiment_id,name,start_time,end_time,classification_class,signal_type,population_size,generations,crossover_prob,mutation_prob,selection_tournament_size,elitism,hall_of_fame_members,max_number_of_mutations,data_split_training,data_split_testing,max_kernel_size,dataset_name,max_memory,fitness_function,minimize_fitness,best,second_best,third_best
0,Unnamed,2025-07-30 10:00:59.468396,2025-07-30 10:01:03.224702,wake,EEG_Fpz-Cz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[4, 5], [3, 3], [2, 2]], Fitness=0.6772","1. Branches=[[4, 5], [3, 3], [2, 2]], Fitness=0.6772","1. Branches=[[4, 5], [3, 3], [2, 2]], Fitness=0.6772"
1,Unnamed,2025-07-30 10:01:04.471241,2025-07-30 10:01:05.726465,N1,EEG_Fpz-Cz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[3, 2], [5, 5]], Fitness=1.0015","1. Branches=[[3, 2], [5, 5]], Fitness=1.0015","1. Branches=[[3, 2], [5, 5]], Fitness=1.0015"
2,Unnamed,2025-07-30 10:01:07.075747,2025-07-30 10:01:09.467550,N2,EEG_Fpz-Cz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[3, 3, 2], [4, 3, 5, 5], [4, 3, 4, 4]], Fitness=0.5691","1. Branches=[[3, 3, 2], [4, 3, 5, 5], [4, 3, 4, 4]], Fitness=0.5691","1. Branches=[[3, 3, 2], [4, 3, 5, 5], [4, 3, 4, 4]], Fitness=0.5691"
3,Unnamed,2025-07-30 10:01:10.593550,2025-07-30 10:01:12.188304,N3,EEG_Fpz-Cz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[5, 3, 4], [4, 4, 2, 3]], Fitness=0.3414","1. Branches=[[5, 3, 4], [4, 4, 2, 3]], Fitness=0.3414","1. Branches=[[5, 3, 4], [4, 4, 2, 3]], Fitness=0.3414"
4,Unnamed,2025-07-30 10:01:33.008453,2025-07-30 10:01:34.263870,REM,EEG_Fpz-Cz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[3, 4, 2]], Fitness=0.8845","1. Branches=[[3, 4, 2]], Fitness=0.8845","1. Branches=[[3, 4, 2]], Fitness=0.8845"
5,Unnamed,2025-07-30 10:01:35.624583,2025-07-30 10:01:37.349538,wake,EEG_Pz-Oz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[3, 5, 3], [2, 3, 2, 2]], Fitness=0.5017","1. Branches=[[3, 5, 3], [2, 3, 2, 2]], Fitness=0.5017","1. Branches=[[3, 5, 3], [2, 3, 2, 2]], Fitness=0.5017"
6,Unnamed,2025-07-30 10:01:38.488841,2025-07-30 10:01:39.849548,N1,EEG_Pz-Oz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[2, 5, 4, 4]], Fitness=1.0807","1. Branches=[[2, 5, 4, 4]], Fitness=1.0807","1. Branches=[[2, 5, 4, 4]], Fitness=1.0807"
7,Unnamed,2025-07-30 10:01:41.044099,2025-07-30 10:01:42.983669,N2,EEG_Pz-Oz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[3, 3, 5, 4], [5, 3, 5, 4]], Fitness=0.5860","1. Branches=[[3, 3, 5, 4], [5, 3, 5, 4]], Fitness=0.5860","1. Branches=[[3, 3, 5, 4], [5, 3, 5, 4]], Fitness=0.5860"
8,Unnamed,2025-07-30 10:01:44.479583,2025-07-30 10:01:55.595072,N3,EEG_Pz-Oz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[2, 3, 4], [4, 4, 4, 2]], Fitness=0.4747","1. Branches=[[2, 3, 4], [4, 4, 4, 2]], Fitness=0.4747","1. Branches=[[2, 3, 4], [4, 4, 4, 2]], Fitness=0.4747"
9,Unnamed,2025-07-30 10:01:57.369192,2025-07-30 10:01:58.973743,REM,EEG_Pz-Oz,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[5, 3], [4, 5, 2]], Fitness=0.8652","1. Branches=[[5, 3], [4, 5, 2]], Fitness=0.8652","1. Branches=[[5, 3], [4, 5, 2]], Fitness=0.8652"
10,Unnamed,2025-07-30 10:02:00.120064,2025-07-30 10:02:01.506931,wake,EOG_horizontal,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[2, 4], [5, 4], [5, 5]], Fitness=0.6439","1. Branches=[[2, 4], [5, 4], [5, 5]], Fitness=0.6439","1. Branches=[[2, 4], [5, 4], [5, 5]], Fitness=0.6439"
11,Unnamed,2025-07-30 10:02:02.622691,2025-07-30 10:02:03.963959,N1,EOG_horizontal,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[2, 5, 4], [3, 3]], Fitness=1.1836","1. Branches=[[2, 5, 4], [3, 3]], Fitness=1.1836","1. Branches=[[2, 5, 4], [3, 3]], Fitness=1.1836"
12,Unnamed,2025-07-30 10:02:05.223238,2025-07-30 10:02:07.177925,N2,EOG_horizontal,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[4, 3, 3], [5, 5, 4, 2], [3, 3]], Fitness=0.5478","1. Branches=[[4, 3, 3], [5, 5, 4, 2], [3, 3]], Fitness=0.5478","1. Branches=[[4, 3, 3], [5, 5, 4, 2], [3, 3]], Fitness=0.5478"
13,Unnamed,2025-07-30 10:02:08.689570,2025-07-30 10:02:10.510521,N3,EOG_horizontal,1,2,0.5,0.5,3,1,3,3,0.7,0.3,5,sleep-EDF-20,512,train_loss,True,"1. Branches=[[2, 3, 5, 2]], Fitness=0.6354","1. Branches=[[2, 3, 5, 2]], Fitness=0.6354","1. Branches=[[2, 3, 5, 2]], Fitness=0.6354"
