experiment_id,name,start_time,end_time,classification_class,signal_type,population_size,generations,crossover_prob,mutation_prob,selection_tournament_size,elitism,hall_of_fame_members,max_number_of_mutations,data_split_training,data_split_testing,base_batch_size,min_kernel_size,max_kernel_size,number_of_branches_range,number_of_kernels_range,learning_rate,age_gap,aging_scheme,max_age_in_layers,layer_creation_thresholds,percentages,dataset_name,max_memory,fitness_function,minimize_fitness,time_wall_flip_on,time_wall_starting_percentage,time_wall_max_percentage,time_wall_increase,best,second_best,third_best,alps_manager
0,edf20-minimax,2025-07-15 11:40:44.404099,2025-07-15 12:13:52.417557,N3,EEG_Fpz-Cz,32,20,9,0.5,0.5,4,1,1500,"1. Branches=[[300, 50, 1, 1]], Fitness=0.1551","2. Branches=[[300, 50, 5]], Fitness=0.1642","3. Branches=[[50, 101]], Fitness=0.1666",sleep-EDF-20,train_loss,Linear,None
1,edf20-minimax,2025-07-15 12:13:53.220937,2025-07-15 13:04:00.533974,N3,EEG_Fpz-Cz,32,20,9,0.5,0.5,4,1,1500,"1. Branches=[[1440, 820]], Fitness=0.8509","2. Branches=[[20, 720], [700, 450]], Fitness=0.7418","3. Branches=[[920, 460, 465], [1480, 690, 345, 172], [1200, 600]], Fitness=0.6903",sleep-EDF-20,train_loss,Linear,None
2,edf78-minimax,2025-07-15 15:48:56.547044,2025-07-15 17:39:32.281063,N3,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,1500,"1. Branches=[[130, 7, 5]], Fitness=0.1865","2. Branches=[[380, 15, 7]], Fitness=0.1956","3. Branches=[[380, 10], [162, 650, 325, 1300], [780, 390, 195]], Fitness=0.1988",sleep-EDF-20,train_loss,Linear,None
3,edf78-minimax,2025-07-15 17:39:40.294842,2025-07-15 20:07:18.458125,N3,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,1500,"1. Branches=[[1, 280]], Fitness=0.8674","2. Branches=[[1, 240, 10]], Fitness=0.8538","3. Branches=[[1440, 770, 360, 180]], Fitness=0.8241",sleep-EDF-20,train_loss,Linear,None
4,minifitness-vs-random,2025-07-16 15:47:38.081311,2025-07-16 22:44:19.139190,N2,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,1500,"1. Branches=[[1280, 1, 1], [200, 100, 50]], Fitness=0.3419","2. Branches=[[51, 740, 370]], Fitness=0.3594","3. Branches=[[1, 690], [140, 20, 10]], Fitness=0.3656",sleep-EDF-78,train_loss,Linear,"{0: {'dataset_percentage': 0.1, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 1: {'dataset_percentage': 0.2, 'training_epochs': 3, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 2: {'dataset_percentage': 1.0, 'training_epochs': 10, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 5, 'lambda_': 1}}"
5,minifitness-vs-random,2025-07-16 22:44:24.475241,2025-07-17 06:29:47.045644,N2,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,1500,"1. Branches=[[160, 380, 95, 190], [1460, 730, 365, 182]], Fitness=0.0032","2. Branches=[[660, 620]], Fitness=0.0063","3. Branches=[[1460, 730]], Fitness=0.0125",sleep-EDF-78,random_fitness,Linear,"{0: {'dataset_percentage': 0.1, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 1: {'dataset_percentage': 0.2, 'training_epochs': 3, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 2: {'dataset_percentage': 1.0, 'training_epochs': 10, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 5, 'lambda_': 1}}"
6,17.07,2025-07-17 16:18:39.091434,2025-07-17 16:39:41.394082,N2,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,500,"1. Branches=[[203, 40, 73, 164], [177, 275, 319, 489]], Fitness=0.9996","2. Branches=[[104, 364, 384, 27], [155, 409, 384, 27]], Fitness=0.9919","3. Branches=[[202, 250, 475, 188]], Fitness=0.9895",sleep-EDF-20,random_fitness,Linear,"{0: {'dataset_percentage': 0.1, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 1: {'dataset_percentage': 0.2, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 2: {'dataset_percentage': 1.0, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}}"
7,train-loss-new-alps,2025-07-18 09:05:14.570811,2025-07-18 09:15:49.235847,N2,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,500,"1. Branches=[[260, 89], [260, 89]], Fitness=0.7638","2. Branches=[[305, 7]], Fitness=0.7530","3. Branches=[[347, 89]], Fitness=0.7497",sleep-EDF-20,train_loss,Linear,"{0: {'dataset_percentage': 0.1, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 1: {'dataset_percentage': 0.2, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 2: {'dataset_percentage': 1.0, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}}"
8,minimizing-fitness,2025-07-18 09:18:21.939056,2025-07-18 09:32:20.242314,N2,EEG_Fpz-Cz,32,20,13,0.5,0.5,4,1,500,"1. Branches=[[52, 467, 291, 177]], Fitness=0.4053","2. Branches=[[286, 215, 384]], Fitness=0.4160","3. Branches=[[52, 291, 184], [140, 70, 35]], Fitness=0.4169",sleep-EDF-20,train_loss,Linear,"{0: {'dataset_percentage': 0.1, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 1: {'dataset_percentage': 0.2, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 2: {'dataset_percentage': 1.0, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}}"
9,-dataset sleep-EDF-20 --max-mem 2048 --signal EOG_horizontal --sleep-stage REM --max-ks 500 --generations 30 --pop-size 20,2025-07-18 11:52:36.228753,2025-07-18 12:39:00.848753,REM,EOG_horizontal,32,20,29,0.5,0.5,4,1,500,"1. Branches=[[258, 216, 430], [140, 70, 35], [140, 70, 35]], Fitness=0.4224","2. Branches=[[306, 216, 169, 430], [155, 352, 385, 60]], Fitness=0.4229","3. Branches=[[258, 216, 430], [155, 352, 425, 60], [155, 352, 385, 60]], Fitness=0.4291",sleep-EDF-20,train_loss,Linear,"{0: {'dataset_percentage': 0.1, 'training_epochs': 1, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 1: {'dataset_percentage': 0.2, 'training_epochs': 3, 'batch_size': 32, 'learning_rate': 0.0005, 'mu': 20, 'lambda_': 10}, 2: {'dataset_percentage': 1.0, 'training_epochs': 10, 'batch_size': 128, 'learning_rate': 0.0005, 'mu': 5, 'lambda_': 1}}"
