epoch,train_loss,test_loss,precision,recall,f1,accuracy,learning_rate,kernel_sizes
1,0.9209,1.0328,0.9429,0.3659,0.5272,0.952,8e-05,"[[1, 1, 1]]"
2,0.7616,0.6231,0.6432,0.6275,0.6352,0.947,8e-05,"[[1, 1, 1]]"
3,0.7282,0.9426,0.8063,0.4523,0.5795,0.952,8e-05,"[[1, 1, 1]]"
4,0.7148,0.9316,0.9052,0.4235,0.577,0.954,8e-05,"[[1, 1, 1]]"
5,0.6964,0.5439,0.6804,0.694,0.6872,0.954,8e-05,"[[1, 1, 1]]"
6,0.6839,0.5079,0.3962,0.796,0.5291,0.896,8e-05,"[[1, 1, 1]]"
7,0.6724,0.4917,0.3537,0.8226,0.4947,0.877,8e-05,"[[1, 1, 1]]"
8,0.6609,0.5988,0.2015,0.8847,0.3283,0.734,8e-05,"[[1, 1, 1]]"
9,0.6413,0.6256,0.8088,0.5721,0.6701,0.959,8e-05,"[[1, 1, 1]]"
10,0.6344,0.5747,0.2156,0.8692,0.3455,0.758,8e-05,"[[1, 1, 1]]"
11,0.6211,0.4875,0.3124,0.8492,0.4568,0.852,4e-05,"[[1, 1, 1]]"
12,0.6167,0.4727,0.4733,0.7849,0.5905,0.92,4e-05,"[[1, 1, 1]]"
13,0.6032,0.5058,0.285,0.8581,0.4279,0.832,4e-05,"[[1, 1, 1]]"
14,0.6066,0.4877,0.3178,0.847,0.4622,0.855,4e-05,"[[1, 1, 1]]"
15,0.6,0.4882,0.3669,0.8248,0.5078,0.883,4e-05,"[[1, 1, 1]]"
16,0.6038,0.6114,0.1886,0.9135,0.3126,0.705,4e-05,"[[1, 1, 1]]"
17,0.5836,0.6136,0.1885,0.9024,0.3119,0.708,2e-05,"[[1, 1, 1]]"
18,0.5854,0.5675,0.2064,0.8914,0.3351,0.741,2e-05,"[[1, 1, 1]]"
19,0.5797,0.8548,0.143,0.9557,0.2487,0.577,2e-05,"[[1, 1, 1]]"
20,0.5849,0.5099,0.3419,0.8293,0.4841,0.87,2e-05,"[[1, 1, 1]]"
1,0.6751,0.2645,0.7296,0.8736,0.7952,0.967,8e-05,"[[100, 50, 25]]"
2,0.3508,0.3422,0.8929,0.7761,0.8304,0.977,8e-05,"[[100, 50, 25]]"
3,0.3048,0.1763,0.7322,0.9335,0.8207,0.97,8e-05,"[[100, 50, 25]]"
4,0.2837,0.2019,0.6625,0.9357,0.7757,0.96,8e-05,"[[100, 50, 25]]"
5,0.2629,0.2329,0.4638,0.98,0.6296,0.915,8e-05,"[[100, 50, 25]]"
6,0.2599,0.2845,0.4097,0.9756,0.577,0.895,8e-05,"[[100, 50, 25]]"
7,0.2546,0.1875,0.7578,0.9157,0.8293,0.972,8e-05,"[[100, 50, 25]]"
8,0.2388,0.1834,0.6609,0.9379,0.7754,0.96,4e-05,"[[100, 50, 25]]"
9,0.2199,0.1597,0.7038,0.9534,0.8098,0.967,4e-05,"[[100, 50, 25]]"
10,0.2216,0.1511,0.6556,0.9667,0.7814,0.96,4e-05,"[[100, 50, 25]]"
11,0.2073,0.1572,0.6426,0.969,0.7728,0.958,4e-05,"[[100, 50, 25]]"
12,0.2062,0.1594,0.572,0.9867,0.7242,0.945,4e-05,"[[100, 50, 25]]"
13,0.2005,0.1895,0.7757,0.9047,0.8352,0.974,4e-05,"[[100, 50, 25]]"
14,0.1972,0.1601,0.6072,0.9734,0.7479,0.952,4e-05,"[[100, 50, 25]]"
15,0.1951,0.1661,0.6667,0.949,0.7832,0.961,4e-05,"[[100, 50, 25]]"
16,0.1923,0.1359,0.7461,0.9512,0.8363,0.973,4e-05,"[[100, 50, 25]]"
17,0.1958,0.2083,0.7886,0.8936,0.8378,0.975,4e-05,"[[100, 50, 25]]"
18,0.186,0.2276,0.8489,0.847,0.8479,0.978,4e-05,"[[100, 50, 25]]"
19,0.1799,0.196,0.7861,0.9047,0.8412,0.975,4e-05,"[[100, 50, 25]]"
20,0.1743,0.1937,0.7319,0.9202,0.8153,0.969,4e-05,"[[100, 50, 25]]"
1,0.7519,0.4086,0.2952,0.9778,0.4535,0.827,8e-05,"[[200, 100, 50]]"
2,0.4229,0.304,0.4636,0.9313,0.619,0.916,8e-05,"[[200, 100, 50]]"
3,0.3585,0.3391,0.3507,0.9978,0.519,0.864,8e-05,"[[200, 100, 50]]"
4,0.3268,0.2648,0.3906,0.9933,0.5607,0.886,8e-05,"[[200, 100, 50]]"
5,0.3049,0.2573,0.6867,0.8847,0.7733,0.962,8e-05,"[[200, 100, 50]]"
6,0.289,0.3385,0.3587,0.9933,0.5271,0.869,8e-05,"[[200, 100, 50]]"
7,0.2708,0.1864,0.6152,0.9534,0.7478,0.953,8e-05,"[[200, 100, 50]]"
8,0.2735,0.3282,0.7328,0.8271,0.7771,0.965,8e-05,"[[200, 100, 50]]"
